fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo,ts_20,w_rec,ts_10,ts_50,Year,Month,Day
2001-04-01,1387,10.4(29),8.0,70.0,2.0,3.0,6.5,1023.8(08),10.0,1019.8,1011.8,9.8,19.6(01),12.2,0.0,0.0,4.0,25/20.6(24),1.0,18.0,49.0,0.0,18.0,6.6(30),105.0,0.0,0.0,772.0,56.6,18.0,1.0,15.0,0.0,12.0,0.0,12.8,15.7,0.0,995.7(23),13.0,48092.0,14.2,383.0,14.5,14.3,2001,4,1
2001-05-01,1387,34.2(01),9.0,73.0,2.0,5.0,7.3,1015.9(28),2.0,1016.8,1008.8,11.6,25.2(27),15.5,0.0,0.0,3.0,35/18.1(02),2.0,19.0,50.0,0.0,9.0,6.6(01),124.0,1.0,3.0,749.0,73.0,8.0,1.0,12.0,0.0,12.4,0.0,14.7,17.8,0.0,993.7(14),7.0,65376.0,16.2,321.0,16.9,15.9,2001,5,1
2001-06-01,1387,7.0(26),7.0,72.0,0.0,5.0,9.2,1020.4(17),0.0,1019.2,1011.2,14.4,28.4(20),17.0,0.0,0.0,7.0,03/15.0(01),0.0,16.0,60.0,0.0,7.0,11.0(11),147.0,0.0,2.0,841.0,18.5,9.0,0.0,10.0,0.0,17.0,0.0,17.5,20.7,0.0,1001.8(09),5.0,75580.0,20.6,273.0,21.3,20.1,2001,6,1
2001-07-01,1387,38.6(13),12.0,78.0,0.0,5.0,6.8,1016.3(01),3.0,1017.9,1010.0,15.9,28.8(01),18.0,0.0,0.0,3.0,25/16.1(17),2.0,16.0,45.0,0.0,12.0,13.2(20),172.0,1.0,1.0,689.0,74.4,16.0,1.0,12.0,0.0,19.6,0.0,18.9,21.8,0.0,997.4(05),8.0,65491.0,21.7,301.0,22.2,21.4,2001,7,1
2001-08-01,1387,16.8(27),8.0,78.0,1.0,10.0,8.0,1018.8(04),3.0,1017.5,1009.7,16.5,26.4(11),19.0,0.0,0.0,4.0,12/16.4(27),3.0,19.0,58.0,0.0,11.0,14.0(04),179.0,0.0,0.0,696.0,59.8,11.0,4.0,9.0,0.0,19.6,0.0,19.7,22.8,0.0,999.0(19),7.0,59227.0,22.1,242.0,22.7,21.8,2001,8,1
2001-09-01,1387,31.1(22),5.0,71.0,0.0,4.0,8.0,1016.1(07),4.0,1016.2,1008.3,14.7,24.4(02),17.8,0.0,0.0,9.0,19/18.1(30),1.0,16.0,64.0,0.0,6.0,11.7(19),145.0,1.0,1.0,915.0,48.6,7.0,1.0,13.0,0.0,18.3,0.0,18.1,21.4,0.0,995.3(28),5.0,52980.0,19.7,321.0,19.8,20.1,2001,9,1
2001-10-01,1387,38.9(02),11.0,74.0,0.0,0.0,5.2,1031.0(31),6.0,1014.6,1006.7,14.2,26.1(12),18.4,0.0,0.0,1.0,22/24.2(07),4.0,19.0,47.0,0.0,15.0,10.5(04),147.0,2.0,0.0,755.0,138.2,18.0,3.0,12.0,0.0,17.4,0.0,17.4,20.6,0.0,987.1(18),13.0,29191.0,17.5,309.0,17.4,17.7,2001,10,1
2001-11-01,1387,4.8(26),5.0,71.0,1.0,1.0,5.7,1023.1(01),4.0,1025.6,1017.5,9.4,19.0(02),13.0,0.0,0.0,4.0,02/21.4(09),0.0,21.0,58.0,0.0,11.0,5.4(18),102.0,0.0,0.0,755.0,20.5,13.0,0.0,13.0,0.0,11.8,0.0,12.1,14.9,0.0,1009.3(26),7.0,23093.0,13.1,329.0,12.4,14.0,2001,11,1
2001-12-01,1387,17.8(01),10.0,69.0,0.0,4.0,4.5,1022.3(05),2.0,1021.5,1013.3,6.6,16.4(04),13.2,0.0,0.0,15.0,04/18.1(14),2.0,6.0,50.0,0.0,8.0,0.6(25),88.0,0.0,0.0,600.0,43.2,8.0,0.0,8.0,0.0,9.4,0.0,9.7,12.9,0.0,999.5(30),5.0,17486.0,,231.0,,,2001,12,1
2001-01-01,1393,36.0(03),,,,,,1020.5(31),,1009.0,1003.8,,,,,,,23/32.8(01),8.0,,,,27.0,,,1.0,,,221.7,,,,,,,,,,982.8(01),23.0,,,,,,2001,1,1
2001-02-01,1393,,,,,,,1024.5(12),,,1010.0,,,,,,,23/31.1(05),,,,,,,,,,,,,,,,,,,,,984.3(07),,,,,,,2001,2,1
2001-03-01,1393,,,85.0,,,,1015.3(13),,1004.5,998.1,8.0,20.8(08),11.0,0.0,,,,,,,,,3.6(01),106.0,,,,,,,,0.0,9.2,,10.3,12.5,,968.0(02),,,,,,,2001,3,1
2001-04-01,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,4,1
2001-05-01,1393,6.8(13),,,,,,1014.9(28),,1012.3,1006.8,11.2,19.8(25),14.2,0.0,,,,0.0,,,,8.0,8.8(03),,0.0,,,23.0,,,,0.0,12.9,,13.4,15.5,,991.2(14),5.0,,,,,,2001,5,1
2001-06-01,1393,11.7(08),,80.0,,,,1018.7(17),,1015.9,1009.9,13.2,26.8(20),15.3,0.0,,,,2.0,,,,11.0,11.0(21),149.0,0.0,,,34.0,,,,0.0,15.7,,16.0,18.8,,999.7(09),5.0,,,,,,2001,6,1
2001-07-01,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,7,1
2001-08-01,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,8,1
2001-09-01,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,9,1
2001-10-01,1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,10,1
2001-11-01,1393,,,,,,,,,,,,,,,,,05/28.1(09),,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,11,1
2001-12-01,1393,11.6(30),,77.0,,,,1021.5(05),8.0,1016.9,1010.8,6.9,15.8(10),12.9,0.0,,,05/23.6(14),1.0,,,0.0,6.0,0.6(16),96.0,0.0,,,15.0,,,18.0,0.0,8.5,,9.6,12.2,,996.8(30),2.0,,,444.0,,,2001,12,1
2001-01-01,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,1,1
2001-02-01,1351,9.4(07),,63.0,,,,1024.5(19),19.0,1018.7,1008.7,8.1,17.4(11),12.0,0.0,,,23/33.6(05),0.0,,,7.0,10.0,3.6(28),78.0,0.0,,,33.1,,,32.0,0.0,8.2,,10.0,11.9,,983.0(07),7.0,,,761.0,,,2001,2,1
2001-03-01,1351,57.2(02),,67.0,,,,1013.1(31),27.0,1005.3,995.5,9.0,19.4(06),12.6,0.0,,,27/36.7(28),2.0,,,11.0,25.0,3.9(01),92.0,1.0,,,151.3,,,38.0,0.0,9.7,,11.6,14.2,,966.5(02),18.0,,,834.0,,,2001,3,1
2001-04-01,1351,8.2(29),,63.0,,,,1021.1(08),21.0,1017.8,1007.8,8.6,18.1(01),10.3,0.0,,,24/32.8(24),0.0,,,8.0,16.0,4.3(29),83.0,0.0,,,37.3,,,32.0,0.0,10.2,,11.2,13.8,,990.0(22),10.0,,,710.0,,,2001,4,1
2001-05-01,1351,21.5(01),,69.0,,,,1013.7(28),12.0,1015.9,1006.1,10.3,17.8(13),14.0,0.0,,,23/25.3(15),2.0,,,1.0,10.0,5.4(01),100.0,0.0,,,57.3,,,20.0,0.0,11.4,,12.6,14.8,,990.7(14),6.0,,,467.0,,,2001,5,1
2001-06-01,1351,7.6(08),,70.0,,,,1018.0(17),13.0,1018.5,1008.5,13.0,21.1(28),15.4,0.0,,,26/24.7(16),0.0,,,0.0,9.0,11.0(11),123.0,0.0,,,17.9,,,23.0,0.0,15.0,,15.2,17.4,,999.1(09),4.0,,,511.0,,,2001,6,1
2001-07-01,1351,26.7(13),,81.0,,,,1014.6(01),21.0,1016.5,1006.8,14.6,23.3(26),17.3,0.0,,,24/28.9(17),1.0,,,3.0,9.0,11.4(05),161.0,0.0,,,47.0,,,27.0,0.0,17.8,,17.4,20.2,,990.8(14),5.0,,,589.0,,,2001,7,1
2001-08-01,1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,8,1
2001-09-01,1351,,,,,,,,,,,,,,,,,24/28.6(30),,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,9,1
2001-10-01,1351,21.4(02),,76.0,,,,1021.0(31),18.0,1012.7,1002.9,13.1,25.3(12),18.5,0.0,,,25/39.2(07),2.0,,,4.0,16.0,11.1(07),137.0,0.0,,,64.9,,,26.0,0.0,15.7,,16.2,19.3,,983.0(18),11.0,,,554.0,,,2001,10,1
2001-11-01,1351,8.4(26),,75.0,,,,1020.6(01),16.0,1023.8,1013.8,9.7,16.2(07),12.8,0.0,,,15/30.8(15),0.0,,,1.0,13.0,6.0(09),101.0,0.0,,,29.1,,,24.0,0.0,10.7,,11.4,13.1,,1004.8(26),9.0,,,570.0,,,2001,11,1
2001-12-01,1351,25.0(30),,76.0,,,,1018.4(05),24.0,1019.6,1009.5,7.6,15.3(05),11.5,0.0,,,16/30.3(14),2.0,,,2.0,7.0,3.6(22),89.0,0.0,,,58.6,,,28.0,0.0,6.9,,9.3,11.0,,995.8(30),6.0,,,611.0,,,2001,12,1
2001-01-01,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,1,1
2001-02-01,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,2,1
2001-03-01,1400,35.4(01),,86.0,,,,997.5(13),6.0,1008.2,980.8,8.2,16.3(31),11.3,0.0,,,23/21.4(08),11.0,,,0.0,26.0,3.9(01),107.0,1.0,,,236.8,,,8.0,0.0,9.2,,10.1,12.0,,950.0(02),20.0,,,263.0,,,2001,3,1
2001-04-01,1400,,,,,,,1004.5(08),,1020.1,992.3,,,,,,,,,,,,,,96.0,,,,,,,11.0,,,,,,,976.1(23),,,,,,,2001,4,1
2001-05-01,1400,,,,,,,,,,,,,,,,,13/30.6(08),,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,5,1
2001-06-01,1400,10.8(08),,74.0,,,,1000.1(17),2.0,1018.4,991.3,12.0,28.1(20),20.6,0.0,,,01/16.1(22),1.0,,,0.0,13.0,8.4(11),128.0,0.0,,,19.6,,,9.0,0.0,13.4,,15.5,18.9,,981.5(09),3.0,,,254.0,,,2001,6,1
2001-07-01,1400,12.0(13),,79.0,,,,996.9(11),1.0,1017.3,990.2,13.3,31.7(01),16.0,1.0,,,04/15.8(30),1.0,,,0.0,12.0,11.5(18),145.0,0.0,,,26.5,,,10.0,0.0,15.2,,16.4,19.4,,979.8(05),6.0,,,290.0,,,2001,7,1
